index_name,Date,Open,High,Low,Close
NYSE,12/31/2019,13852.60,13915.74,13843.98,13913.03
NYSE,12/30/2019,13951.26,13952.78,13864.57,13876.15
NYSE,12/27/2019,13976.85,13978.61,13928.15,13944.15
NYSE,12/26/2019,13911.16,13941.56,13895.20,13940.42
NYSE,12/24/2019,13902.96,13902.96,13885.56,13895.14
NYSE,12/23/2019,13906.87,13908.16,13888.59,13899.99
NYSE,12/20/2019,13908.65,13914.28,13876.91,13889.25
NYSE,12/19/2019,13801.73,13838.99,13798.78,13831.67
NYSE,12/18/2019,13805.20,13819.70,13790.24,13799.21
NYSE,12/17/2019,13799.94,13813.31,13787.72,13795.35
NYSE,12/16/2019,13781.65,13825.76,13781.65,13795.15
NYSE,12/13/2019,13711.25,13773.13,13655.45,13697.34
NYSE,12/12/2019,13587.71,13725.35,13581.09,13697.41
NYSE,12/11/2019,13554.09,13590.74,13547.68,13579.92
NYSE,12/10/2019,13551.00,13574.22,13521.24,13545.31
NYSE,12/9/2019,13570.54,13600.15,13555.07,13555.07
NYSE,12/6/2019,13515.48,13612.06,13515.48,13588.29
NYSE,12/5/2019,13466.73,13491.21,13429.30,13482.30
NYSE,12/4/2019,13408.08,13484.41,13408.08,13457.97
NYSE,12/3/2019,13363.66,13373.88,13280.04,13366.09
NYSE,12/2/2019,13554.29,13554.29,13443.11,13448.26
NYSE,11/29/2019,13595.86,13607.67,13537.68,13545.21
NYSE,11/27/2019,13577.52,13611.49,13563.34,13607.62
NYSE,11/26/2019,13532.56,13564.63,13513.11,13559.71
NYSE,11/25/2019,13471.52,13534.59,13471.52,13532.89
NYSE,11/22/2019,13412.27,13451.42,13404.54,13440.95
NYSE,11/21/2019,13420.33,13430.71,13366.99,13406.41
NYSE,11/20/2019,13460.34,13460.34,13360.66,13419.30
NYSE,11/19/2019,13489.78,13508.88,13448.27,13466.35
NYSE,11/18/2019,13488.48,13498.08,13464.01,13483.81
NYSE,11/15/2019,13432.76,13492.97,13426.98,13492.96
NYSE,11/14/2019,13386.31,13397.04,13346.76,13392.00
NYSE,11/13/2019,13348.63,13400.80,13325.52,13385.06
NYSE,11/12/2019,13391.97,13438.76,13366.88,13387.62
NYSE,11/11/2019,13347.30,13395.65,13333.91,13388.12
NYSE,11/8/2019,13376.34,13407.81,13343.02,13407.81
NYSE,11/7/2019,13376.93,13436.97,13376.93,13395.55
NYSE,11/6/2019,13339.85,13364.95,13319.79,13351.57
NYSE,11/5/2019,13368.24,13385.03,13323.06,13339.59
NYSE,11/4/2019,13321.18,13387.49,13321.18,13355.44
NYSE,11/1/2019,13231.18,13300.35,13231.18,13300.27
NYSE,10/31/2019,13239.43,13239.43,13116.58,13171.81
