index_name,Date,Open,High,Low,Close
NYSE,12/31/2018,11338.24,11378.19,11270.63,11374.39
NYSE,12/28/2018,11343.86,11418.86,11249.91,11290.95
NYSE,12/27/2018,11081.87,11285.32,10932.94,11285.31
NYSE,12/26/2018,10801.47,11204.59,10723.66,11204.09
NYSE,12/24/2018,10976.23,10995.90,10769.81,10769.83
NYSE,12/21/2018,11199.30,11364.14,11013.41,11036.84
NYSE,12/20/2018,11338.35,11394.72,11126.95,11222.79
NYSE,12/19/2018,11540.18,11677.50,11313.04,11371.84
NYSE,12/18/2018,11594.09,11649.15,11449.75,11502.16
NYSE,12/17/2018,11716.14,11752.74,11480.09,11532.12
NYSE,12/14/2018,11845.36,11882.36,11727.89,11755.38
NYSE,12/13/2018,11976.30,12011.40,11892.78,11936.16
NYSE,12/12/2018,11982.97,12075.05,11941.82,11943.29
NYSE,12/11/2018,11982.78,12044.03,11805.72,11860.65
NYSE,12/10/2018,11922.72,11939.04,11696.58,11889.29
NYSE,12/7/2018,12156.83,12228.91,11897.77,11941.93
NYSE,12/6/2018,12043.44,12144.51,11852.83,12144.41
NYSE,12/4/2018,12555.02,12568.64,12212.52,12221.98
NYSE,12/3/2018,12602.90,12624.75,12500.36,12577.54
NYSE,11/30/2018,12373.00,12464.41,12358.86,12457.55
NYSE,11/29/2018,12384.98,12453.62,12336.32,12389.37
NYSE,11/28/2018,12225.73,12418.48,12174.45,12417.63
NYSE,11/27/2018,12135.41,12190.41,12111.57,12188.07
NYSE,11/26/2018,12111.20,12199.57,12111.20,12181.60
NYSE,11/23/2018,12034.68,12087.17,12016.76,12036.24
NYSE,11/21/2018,12108.72,12202.63,12108.72,12123.34
NYSE,11/20/2018,12158.04,12161.32,12016.07,12048.66
NYSE,11/19/2018,12388.11,12407.82,12234.24,12280.91
NYSE,11/16/2018,12329.43,12433.72,12308.61,12400.28
NYSE,11/15/2018,12215.19,12379.13,12146.07,12361.52
NYSE,11/14/2018,12398.93,12435.65,12199.04,12275.49
NYSE,11/13/2018,12358.89,12446.24,12301.27,12328.30
NYSE,11/12/2018,12517.73,12523.01,12330.80,12343.51
NYSE,11/9/2018,12566.33,12574.64,12472.05,12537.53
NYSE,11/8/2018,12646.42,12676.06,12580.30,12622.04
NYSE,11/7/2018,12564.78,12682.06,12536.12,12679.10
NYSE,11/6/2018,12413.96,12482.76,12411.67,12480.06
NYSE,11/5/2018,12364.38,12450.76,12364.38,12424.31
NYSE,11/2/2018,12410.73,12449.94,12230.32,12321.80
NYSE,11/1/2018,12208.06,12363.32,12208.06,12356.50
NYSE,10/31/2018,12198.65,12300.87,12198.65,12208.06
