index_name,Date,Open,High,Low,Close
NYSE,12/31/2021,17164.24,17226.42,17145.98,17164.13
NYSE,12/30/2021,17149.93,17238.65,17149.93,17164.24
NYSE,12/29/2021,17134.16,17181.70,17107.75,17149.93
NYSE,12/28/2021,17141.09,17217.37,17111.73,17134.16
NYSE,12/27/2021,16963.44,17141.83,16963.44,17141.09
NYSE,12/23/2021,16874.88,17011.48,16874.88,16963.44
NYSE,12/22/2021,16744.27,16879.22,16717.62,16874.89
NYSE,12/21/2021,16442.31,16753.98,16442.31,16744.27
NYSE,12/20/2021,16668.64,16668.64,16310.57,16442.31
NYSE,12/17/2021,16849.09,16849.09,16626.54,16668.64
NYSE,12/16/2021,16813.57,16985.09,16790.72,16849.09
NYSE,12/15/2021,16652.58,16822.70,16567.19,16813.57
NYSE,12/14/2021,16719.57,16768.49,16609.69,16652.58
NYSE,12/13/2021,16856.63,16856.63,16691.16,16719.57
NYSE,12/10/2021,16780.48,16888.57,16762.94,16856.63
NYSE,12/9/2021,16899.92,16899.92,16780.41,16780.48
NYSE,12/8/2021,16853.57,16923.74,16838.77,16899.92
NYSE,12/7/2021,16591.97,16918.73,16591.97,16853.57
NYSE,12/6/2021,16347.87,16664.30,16347.87,16591.97
NYSE,12/3/2021,16475.25,16552.52,16219.86,16347.87
NYSE,12/2/2021,16133.89,16526.60,16133.89,16475.25
NYSE,12/1/2021,16318.97,16636.78,16133.21,16133.89
NYSE,11/30/2021,16683.98,16683.98,16303.27,16318.97
NYSE,11/29/2021,16624.87,16794.55,16601.74,16683.98
NYSE,11/26/2021,17036.81,17036.89,16546.56,16624.87
NYSE,11/24/2021,17007.90,17046.09,16911.83,17036.81
NYSE,11/23/2021,16945.78,17026.54,16887.80,17007.90
NYSE,11/22/2021,16973.97,17082.70,16945.67,16945.78
NYSE,11/19/2021,17117.74,17117.74,16965.80,16973.97
NYSE,11/18/2021,17192.66,17192.66,17049.06,17117.74
NYSE,11/17/2021,17302.79,17302.79,17158.98,17192.66
NYSE,11/16/2021,17285.55,17364.31,17285.55,17302.79
NYSE,11/15/2021,17297.66,17336.84,17267.89,17285.55
NYSE,11/12/2021,17220.41,17312.94,17220.41,17297.66
NYSE,11/11/2021,17192.04,17246.86,17192.04,17220.41
NYSE,11/10/2021,17286.91,17322.72,17145.00,17192.04
NYSE,11/9/2021,17310.51,17323.13,17217.94,17286.91
NYSE,11/8/2021,17242.36,17341.78,17242.36,17310.51
NYSE,11/5/2021,17168.87,17306.21,17168.87,17242.36
NYSE,11/4/2021,17209.75,17230.80,17110.48,17168.87
NYSE,11/3/2021,17115.18,17220.60,17081.98,17209.75
NYSE,11/2/2021,17131.08,17131.08,17078.81,17115.18
NYSE,11/1/2021,17016.41,17138.38,17016.41,17131.08
NYSE,10/29/2021,17077.00,17077.00,16977.49,17016.41
