index_name,Date,Open,High,Low,Close
DJIA,12/31/2019,28414.64,28547.35,28376.49,28538.44
DJIA,12/30/2019,28654.76,28664.69,28428.98,28462.14
DJIA,12/27/2019,28675.34,28701.66,28608.98,28645.26
DJIA,12/26/2019,28539.46,28624.10,28535.15,28621.39
DJIA,12/24/2019,28572.57,28576.80,28503.21,28515.45
DJIA,12/23/2019,28491.78,28582.49,28491.78,28551.53
DJIA,12/20/2019,28608.64,28608.64,28445.60,28455.09
DJIA,12/19/2019,28278.31,28381.48,28278.24,28376.96
DJIA,12/18/2019,28291.44,28323.25,28239.28,28239.28
DJIA,12/17/2019,28221.75,28328.63,28220.56,28267.16
DJIA,12/16/2019,28191.67,28337.49,28191.67,28235.89
DJIA,12/13/2019,28123.64,28290.73,28028.32,28135.38
DJIA,12/12/2019,27898.34,28224.95,27859.87,28132.05
DJIA,12/11/2019,27867.31,27925.50,27801.80,27911.30
DJIA,12/10/2019,27900.65,27949.02,27804.00,27881.72
DJIA,12/9/2019,27987.05,28010.42,27906.14,27909.60
DJIA,12/6/2019,27839.68,28035.85,27839.68,28015.06
DJIA,12/5/2019,27736.05,27745.20,27562.80,27677.79
DJIA,12/4/2019,27634.63,27727.45,27612.08,27649.78
DJIA,12/3/2019,27501.98,27524.74,27325.13,27502.81
DJIA,12/2/2019,28109.74,28109.84,27782.35,27783.04
DJIA,11/29/2019,28103.16,28119.51,28042.53,28051.41
DJIA,11/27/2019,28156.47,28174.97,28075.23,28164.00
DJIA,11/26/2019,28080.75,28146.02,28042.21,28121.68
DJIA,11/25/2019,27917.77,28068.69,27917.77,28066.47
DJIA,11/22/2019,27831.23,27898.46,27773.98,27875.62
DJIA,11/21/2019,27820.28,27828.33,27708.34,27766.29
DJIA,11/20/2019,27879.55,27897.28,27675.28,27821.09
DJIA,11/19/2019,28079.76,28090.21,27894.52,27934.02
DJIA,11/18/2019,27993.22,28040.97,27969.24,28036.22
DJIA,11/15/2019,27843.54,28004.89,27843.54,28004.89
DJIA,11/14/2019,27757.20,27800.71,27676.97,27781.96
DJIA,11/13/2019,27622.04,27806.40,27587.20,27783.59
DJIA,11/12/2019,27701.59,27770.86,27635.32,27691.49
DJIA,11/11/2019,27580.66,27714.39,27517.67,27691.49
DJIA,11/8/2019,27686.20,27694.95,27578.97,27681.24
DJIA,11/7/2019,27590.16,27774.67,27590.16,27674.80
DJIA,11/6/2019,27502.74,27526.05,27407.81,27492.56
DJIA,11/5/2019,27500.23,27560.36,27453.55,27492.63
DJIA,11/4/2019,27402.06,27517.58,27402.06,27462.11
DJIA,11/1/2019,27142.95,27347.43,27142.95,27347.36
