index_name,Date,Open,High,Low,Close
DJIA,12/31/2018,23153.94,23333.18,23118.30,23327.46
DJIA,12/28/2018,23213.61,23381.88,22981.33,23062.40
DJIA,12/27/2018,22629.06,23138.89,22267.42,23138.82
DJIA,12/26/2018,21857.73,22878.92,21712.53,22878.45
DJIA,12/24/2018,22317.28,22339.87,21792.20,21792.20
DJIA,12/21/2018,22871.74,23254.59,22396.34,22445.37
DJIA,12/20/2018,23224.12,23282.20,22644.31,22859.60
DJIA,12/19/2018,23693.33,24057.34,23162.64,23323.66
DJIA,12/18/2018,23769.13,23927.77,23516.02,23675.64
DJIA,12/17/2018,23986.83,24088.08,23456.88,23592.98
DJIA,12/14/2018,24408.04,24431.14,24033.79,24100.51
DJIA,12/13/2018,24575.86,24740.96,24473.29,24597.38
DJIA,12/12/2018,24509.09,24828.29,24509.09,24527.27
DJIA,12/11/2018,24719.91,24791.26,24221.06,24370.24
DJIA,12/10/2018,24360.95,24500.81,23881.37,24423.26
DJIA,12/7/2018,24918.82,25095.62,24284.78,24388.95
DJIA,12/6/2018,24737.42,24951.01,24242.22,24947.67
DJIA,12/4/2018,25752.56,25773.12,25008.11,25027.07
DJIA,12/3/2018,25779.57,25980.21,25670.51,25826.43
DJIA,11/30/2018,25307.14,25549.71,25250.97,25538.46
DJIA,11/29/2018,25343.65,25479.04,25202.79,25338.84
DJIA,11/28/2018,24832.84,25368.93,24832.84,25366.43
DJIA,11/27/2018,24557.02,24750.73,24416.03,24748.73
DJIA,11/26/2018,24364.13,24673.29,24364.13,24640.24
DJIA,11/23/2018,24336.40,24408.80,24268.74,24285.95
DJIA,11/21/2018,24541.65,24669.79,24463.28,24464.69
DJIA,11/20/2018,24618.68,24707.26,24368.98,24465.64
DJIA,11/19/2018,25392.61,25392.61,24900.98,25017.44
DJIA,11/16/2018,25242.35,25510.23,25147.80,25413.22
DJIA,11/15/2018,25061.48,25354.56,24787.79,25289.27
DJIA,11/14/2018,25388.08,25501.29,24935.82,25080.50
DJIA,11/13/2018,25321.21,25511.03,25193.78,25286.49
DJIA,11/12/2018,25959.33,25966.71,25340.51,25387.18
DJIA,11/9/2018,26149.11,26161.49,25882.91,25989.30
DJIA,11/8/2018,26139.59,26277.82,26081.90,26191.22
DJIA,11/7/2018,25788.46,26200.14,25765.88,26180.30
DJIA,11/6/2018,25452.83,25651.86,25444.90,25635.01
DJIA,11/5/2018,25261.47,25507.35,25261.47,25461.70
DJIA,11/2/2018,25443.60,25578.98,25078.72,25270.83
DJIA,11/1/2018,25142.08,25396.47,25108.11,25380.74
DJIA,10/31/2018,25008.82,25336.55,25008.82,25115.76
DJIA,10/30/2018,24482.04,24906.68,24415.69,24874.64
DJIA,10/29/2018,24818.98,25040.58,24122.23,24442.92
DJIA,10/26/2018,24770.25,24916.16,24445.19,24688.31
DJIA,10/25/2018,24736.54,25104.29,24645.56,24984.55
DJIA,10/24/2018,25172.88,25306.23,24533.19,24583.42
DJIA,10/23/2018,25038.46,25307.70,24768.79,25191.43
DJIA,10/22/2018,25492.14,25561.34,25236.05,25317.41
DJIA,10/19/2018,25421.09,25608.71,25350.02,25444.34
DJIA,10/18/2018,25645.56,25691.46,25236.01,25379.45
DJIA,10/17/2018,25705.87,25810.09,25479.16,25706.68
DJIA,10/16/2018,25351.53,25817.68,25351.53,25798.42
DJIA,10/15/2018,25332.46,25482.42,25243.88,25250.55
DJIA,10/12/2018,25407.63,25467.55,25000.83,25339.99
DJIA,10/11/2018,25518.39,25683.64,24899.77,25052.83
DJIA,10/10/2018,26441.73,26441.73,25593.65,25598.74
DJIA,10/9/2018,26469.19,26539.94,26324.16,26430.57
DJIA,10/8/2018,26399.45,26529.35,26223.09,26486.78
DJIA,10/5/2018,26632.77,26676.16,26301.81,26447.05
DJIA,10/4/2018,26784.08,26793.82,26471.61,26627.48
DJIA,10/3/2018,26833.47,26951.81,26789.08,26828.39
DJIA,10/2/2018,26648.91,26824.78,26627.66,26773.94
DJIA,10/1/2018,26598.36,26737.98,26596.05,26651.21
DJIA,9/28/2018,26407.66,26515.76,26383.57,26458.31
DJIA,9/27/2018,26418.27,26557.01,26379.95,26439.93
DJIA,9/26/2018,26536.86,26606.09,26349.34,26385.28
DJIA,9/25/2018,26601.58,26634.85,26475.58,26492.21
DJIA,9/24/2018,26705.25,26709.94,26548.68,26562.05
DJIA,9/21/2018,26726.25,26769.16,26680.37,26743.50
DJIA,9/20/2018,26519.39,26697.49,26519.39,26656.98
DJIA,9/19/2018,26287.84,26464.41,26280.76,26405.76
DJIA,9/18/2018,26076.21,26317.34,26076.21,26246.96
DJIA,9/17/2018,26151.66,26184.47,26030.35,26062.12
DJIA,9/14/2018,26169.56,26211.11,26068.29,26154.67
DJIA,9/13/2018,26083.94,26191.64,26067.08,26145.99
DJIA,9/12/2018,25989.07,26145.72,25929.43,25998.92
DJIA,9/11/2018,25841.14,26019.92,25754.32,25971.06
DJIA,9/10/2018,25991.91,26039.96,25854.13,25857.07
DJIA,9/7/2018,25951.02,26002.99,25818.39,25916.54
DJIA,9/6/2018,25973.02,26073.68,25880.84,25995.87
DJIA,9/5/2018,25919.84,26011.22,25871.04,25974.99
DJIA,9/4/2018,25916.07,25971.77,25805.95,25952.48
DJIA,8/31/2018,25964.85,26028.83,25879.77,25964.82
DJIA,8/30/2018,26099.01,26104.37,25934.80,25986.92
DJIA,8/29/2018,26082.53,26167.94,26035.30,26124.57
DJIA,8/28/2018,26092.70,26122.24,26037.85,26064.02
DJIA,8/27/2018,25882.71,26067.57,25882.71,26049.64
DJIA,8/24/2018,25688.58,25826.05,25688.58,25790.35
DJIA,8/23/2018,25714.86,25762.56,25608.02,25656.98
DJIA,8/22/2018,25825.06,25836.16,25722.43,25733.60
DJIA,8/21/2018,25786.99,25888.82,25784.90,25822.29
DJIA,8/20/2018,25727.70,25790.17,25716.41,25758.69
DJIA,8/17/2018,25550.80,25728.16,25521.66,25669.32
DJIA,8/16/2018,25294.97,25607.34,25294.97,25558.73
DJIA,8/15/2018,25235.37,25235.37,24965.77,25162.41
DJIA,8/14/2018,25215.69,25339.51,25201.87,25299.92
DJIA,8/13/2018,25327.19,25381.39,25153.93,25187.70
DJIA,8/10/2018,25401.19,25401.19,25222.88,25313.14
DJIA,8/9/2018,25589.79,25613.31,25492.69,25509.23
DJIA,8/8/2018,25615.72,25634.11,25557.48,25583.75
DJIA,8/7/2018,25551.65,25692.72,25551.65,25628.91
DJIA,8/6/2018,25437.43,25540.02,25381.38,25502.18
DJIA,8/3/2018,25360.37,25467.90,25325.17,25462.58
DJIA,8/2/2018,25256.45,25360.48,25120.07,25326.16
DJIA,8/1/2018,25461.63,25488.80,25278.32,25333.82
DJIA,7/31/2018,25345.21,25490.98,25345.21,25415.19
DJIA,7/30/2018,25439.32,25500.16,25287.38,25306.83
DJIA,7/27/2018,25520.52,25580.22,25370.07,25451.06
DJIA,7/26/2018,25468.55,25587.24,25463.16,25527.07
DJIA,7/25/2018,25183.70,25432.87,25113.55,25414.10
DJIA,7/24/2018,25092.43,25286.62,25092.43,25241.94
DJIA,7/23/2018,25036.90,25081.45,24983.33,25044.29
DJIA,7/20/2018,25041.14,25124.10,24986.35,25058.12
DJIA,7/19/2018,25139.15,25154.17,25052.62,25064.50
DJIA,7/18/2018,25133.79,25215.32,25101.12,25199.29
DJIA,7/17/2018,25033.92,25155.39,24989.61,25119.89
DJIA,7/16/2018,25025.58,25072.41,24979.64,25064.36
DJIA,7/13/2018,24926.07,25043.21,24890.06,25019.41
DJIA,7/12/2018,24802.90,24939.97,24802.90,24924.89
DJIA,7/11/2018,24789.48,24815.16,24663.82,24700.45
DJIA,7/10/2018,24806.97,24945.38,24806.97,24919.66
DJIA,7/9/2018,24519.20,24796.52,24518.43,24776.59
DJIA,7/6/2018,24352.47,24520.29,24281.47,24456.48
DJIA,7/5/2018,24285.82,24372.80,24177.44,24356.74
DJIA,7/3/2018,24359.39,24444.88,24150.85,24174.82
DJIA,7/2/2018,24161.53,24319.42,24077.56,24307.18
DJIA,6/29/2018,24323.93,24509.52,24269.71,24271.41
DJIA,6/28/2018,24064.19,24308.16,23997.21,24216.05
DJIA,6/27/2018,24303.11,24569.02,24115.82,24117.59
