index_name,Date,Open,High,Low,Close
DJIA,12/31/2021,36385.85,36484.94,36303.97,36338.30
DJIA,12/30/2021,36522.48,36679.44,36372.13,36398.08
DJIA,12/29/2021,36421.14,36571.55,36396.19,36488.63
DJIA,12/28/2021,36302.99,36527.26,36302.99,36398.21
DJIA,12/27/2021,35954.48,36306.61,35954.48,36302.38
DJIA,12/23/2021,35782.42,36060.99,35782.42,35950.56
DJIA,12/22/2021,35491.71,35764.67,35433.13,35753.89
DJIA,12/21/2021,35069.50,35508.96,35069.50,35492.70
DJIA,12/20/2021,35222.12,35222.12,34665.50,34932.16
DJIA,12/17/2021,35800.11,35800.11,35284.26,35365.44
DJIA,12/16/2021,36036.28,36189.83,35778.21,35897.64
DJIA,12/15/2021,35549.35,35943.84,35389.30,35927.43
DJIA,12/14/2021,35605.73,35779.47,35441.74,35544.18
DJIA,12/13/2021,35958.93,35958.93,35609.53,35650.95
DJIA,12/10/2021,35830.55,35982.69,35710.43,35970.99
DJIA,12/9/2021,35722.26,35864.24,35577.14,35754.69
DJIA,12/8/2021,35716.85,35840.52,35602.65,35754.75
DJIA,12/7/2021,35423.99,35819.47,35423.99,35719.43
DJIA,12/6/2021,34633.43,35356.75,34633.43,35227.03
DJIA,12/3/2021,34692.78,34801.31,34264.57,34580.08
DJIA,12/2/2021,34076.25,34759.65,34076.25,34639.79
DJIA,12/1/2021,34678.94,35004.64,34006.98,34022.04
DJIA,11/30/2021,35056.99,35056.99,34424.44,34483.72
DJIA,11/29/2021,35017.71,35287.91,34895.89,35135.94
DJIA,11/26/2021,35366.69,35366.69,34749.80,34899.34
DJIA,11/24/2021,35752.31,35825.47,35591.03,35804.38
DJIA,11/23/2021,35619.92,35841.52,35542.87,35813.80
DJIA,11/22/2021,35631.41,35929.66,35615.55,35619.25
DJIA,11/19/2021,35879.09,35879.09,35555.37,35601.98
DJIA,11/18/2021,35901.69,35952.63,35654.39,35870.95
DJIA,11/17/2021,36159.70,36159.70,35909.48,35931.05
DJIA,11/16/2021,36076.18,36316.61,36076.18,36142.22
DJIA,11/15/2021,36128.83,36236.07,36031.78,36087.45
