index_name,Date,Open,High,Low,Close
S&P500,12/31/2019,3215.18,3231.72,3212.03,3230.78
S&P500,12/30/2019,3240.09,3240.92,3216.57,3221.29
S&P500,12/27/2019,3247.23,3247.93,3234.37,3240.02
S&P500,12/26/2019,3227.20,3240.08,3227.20,3239.91
S&P500,12/24/2019,3225.45,3226.43,3220.51,3223.38
S&P500,12/23/2019,3226.05,3227.78,3222.30,3224.01
S&P500,12/20/2019,3223.33,3225.65,3216.03,3221.22
S&P500,12/19/2019,3192.32,3205.48,3192.32,3205.37
S&P500,12/18/2019,3195.21,3198.48,3191.14,3191.14
S&P500,12/17/2019,3195.40,3198.22,3191.03,3192.52
S&P500,12/16/2019,3183.63,3197.71,3183.63,3191.45
S&P500,12/13/2019,3166.65,3182.68,3156.51,3168.80
S&P500,12/12/2019,3141.23,3176.28,3138.47,3168.57
S&P500,12/11/2019,3135.75,3143.98,3133.21,3141.63
S&P500,12/10/2019,3135.36,3142.12,3126.09,3132.52
S&P500,12/9/2019,3141.86,3148.87,3135.46,3135.96
S&P500,12/6/2019,3134.62,3150.60,3134.62,3145.91
S&P500,12/5/2019,3119.21,3119.45,3103.76,3117.43
S&P500,12/4/2019,3103.50,3119.38,3102.53,3112.76
S&P500,12/3/2019,3087.41,3094.97,3070.33,3093.20
S&P500,12/2/2019,3143.85,3144.31,3110.78,3113.87
S&P500,11/29/2019,3147.18,3150.30,3139.34,3140.98
S&P500,11/27/2019,3145.49,3154.26,3143.41,3153.63
S&P500,11/26/2019,3134.85,3142.69,3131.00,3140.52
S&P500,11/25/2019,3117.44,3133.83,3117.44,3133.64
S&P500,11/22/2019,3111.41,3112.87,3099.26,3110.29
S&P500,11/21/2019,3108.49,3110.11,3094.55,3103.54
S&P500,11/20/2019,3114.66,3118.97,3091.41,3108.46
S&P500,11/19/2019,3127.45,3127.64,3113.47,3120.18
S&P500,11/18/2019,3117.91,3124.17,3112.06,3122.03
S&P500,11/15/2019,3107.92,3120.46,3104.60,3120.46
S&P500,11/14/2019,3090.75,3098.20,3083.26,3096.63
S&P500,11/13/2019,3084.18,3098.06,3078.80,3094.04
S&P500,11/12/2019,3089.28,3102.61,3084.73,3091.84
S&P500,11/11/2019,3080.33,3088.33,3075.82,3087.01
S&P500,11/8/2019,3081.25,3093.09,3073.58,3093.08
S&P500,11/7/2019,3087.02,3097.77,3080.23,3085.18
S&P500,11/6/2019,3075.10,3078.34,3065.89,3076.78
S&P500,11/5/2019,3080.80,3083.95,3072.15,3074.62
S&P500,11/4/2019,3078.96,3085.20,3074.87,3078.27
S&P500,11/1/2019,3050.72,3066.95,3050.72,3066.91
S&P500,10/31/2019,3046.90,3046.90,3023.19,3037.56
S&P500,10/30/2019,3039.74,3050.10,3025.96,3046.77
S&P500,10/29/2019,3035.39,3047.87,3034.81,3036.89
S&P500,10/28/2019,3032.12,3044.08,3032.12,3039.42
S&P500,10/25/2019,3003.32,3027.39,3001.94,3022.55
S&P500,10/24/2019,3014.78,3016.07,3000.42,3010.29
S&P500,10/23/2019,2994.01,3004.78,2991.21,3004.52
S&P500,10/22/2019,3010.73,3014.57,2995.04,2995.99
S&P500,10/21/2019,2996.48,3007.33,2995.35,3006.72
S&P500,10/18/2019,2996.84,3000.00,2976.31,2986.20
S&P500,10/17/2019,3000.77,3008.29,2991.79,2997.95
S&P500,10/16/2019,2989.68,2997.54,2985.20,2989.69
S&P500,10/15/2019,2973.61,3003.28,2973.61,2995.68
S&P500,10/14/2019,2965.81,2972.84,2962.94,2966.15
S&P500,10/11/2019,2963.07,2993.28,2963.07,2970.27
S&P500,10/10/2019,2918.55,2948.46,2917.12,2938.13
S&P500,10/9/2019,2911.10,2929.32,2907.41,2919.40
S&P500,10/8/2019,2920.40,2925.47,2892.66,2893.06
S&P500,10/7/2019,2944.23,2959.75,2935.68,2938.79
S&P500,10/4/2019,2918.56,2953.74,2918.56,2952.01
S&P500,10/3/2019,2885.38,2911.13,2855.94,2910.63
S&P500,10/2/2019,2924.78,2924.78,2874.93,2887.61
S&P500,10/1/2019,2983.69,2992.53,2938.70,2940.25
S&P500,9/30/2019,2967.07,2983.85,2967.07,2976.74
S&P500,9/27/2019,2985.47,2987.31,2945.53,2961.79
S&P500,9/26/2019,2985.73,2987.28,2963.71,2977.62
S&P500,9/25/2019,2968.35,2989.82,2952.86,2984.87
S&P500,9/24/2019,3002.43,3007.98,2957.73,2966.60
S&P500,9/23/2019,2983.50,2999.15,2982.23,2991.78
S&P500,9/20/2019,3008.42,3016.37,2984.68,2992.07
S&P500,9/19/2019,3010.36,3021.99,3003.16,3006.79
S&P500,9/18/2019,3001.50,3007.83,2978.57,3006.73
S&P500,9/17/2019,2995.67,3006.21,2993.73,3005.70
S&P500,9/16/2019,2996.41,3002.19,2990.67,2997.96
S&P500,9/13/2019,3012.21,3017.33,3002.90,3007.39
S&P500,9/12/2019,3009.08,3020.74,3000.92,3009.57
S&P500,9/11/2019,2981.41,3000.93,2975.31,3000.93
S&P500,9/10/2019,2971.01,2979.39,2957.01,2979.39
S&P500,9/9/2019,2988.43,2989.43,2969.39,2978.43
S&P500,9/6/2019,2980.33,2985.03,2972.51,2978.71
S&P500,9/5/2019,2960.60,2985.86,2960.60,2976.00
S&P500,9/4/2019,2924.67,2938.84,2921.86,2937.78
S&P500,9/3/2019,2909.01,2914.39,2891.85,2906.27
S&P500,8/30/2019,2937.09,2940.43,2913.32,2926.46
S&P500,8/29/2019,2910.37,2930.50,2905.67,2924.58
S&P500,8/28/2019,2861.28,2890.03,2853.05,2887.94
S&P500,8/27/2019,2893.14,2898.79,2860.59,2869.16
S&P500,8/26/2019,2866.70,2879.27,2856.00,2878.38
S&P500,8/23/2019,2911.07,2927.01,2834.97,2847.11
S&P500,8/22/2019,2930.94,2939.08,2904.51,2922.95
S&P500,8/21/2019,2922.04,2928.73,2917.91,2924.43
S&P500,8/20/2019,2919.01,2923.63,2899.60,2900.51
S&P500,8/19/2019,2913.48,2931.00,2913.48,2923.65
S&P500,8/16/2019,2864.74,2893.63,2864.74,2888.68
S&P500,8/15/2019,2846.20,2856.67,2825.51,2847.60
S&P500,8/14/2019,2894.15,2894.15,2839.64,2840.60
S&P500,8/13/2019,2880.72,2943.31,2877.05,2926.32
S&P500,8/12/2019,2907.07,2907.58,2873.14,2883.75
S&P500,8/9/2019,2930.51,2935.75,2900.15,2918.65
S&P500,8/8/2019,2896.21,2938.72,2894.47,2938.09
S&P500,8/7/2019,2858.65,2892.17,2825.71,2883.98
S&P500,8/6/2019,2861.18,2884.40,2847.42,2881.77
S&P500,8/5/2019,2898.07,2898.07,2822.12,2844.74
S&P500,8/2/2019,2943.90,2945.50,2914.11,2932.05
S&P500,8/1/2019,2980.32,3013.59,2945.23,2953.56
S&P500,7/31/2019,3016.22,3017.40,2958.08,2980.38
S&P500,7/30/2019,3007.66,3017.19,3000.94,3013.18
S&P500,7/29/2019,3024.47,3025.61,3014.30,3020.97
S&P500,7/26/2019,3013.25,3027.98,3012.59,3025.86
S&P500,7/25/2019,3016.26,3016.31,2997.24,3003.67
S&P500,7/24/2019,2998.77,3019.59,2996.82,3019.56
S&P500,7/23/2019,2994.74,3005.90,2988.56,3005.47
S&P500,7/22/2019,2981.93,2990.71,2976.65,2985.03
S&P500,7/19/2019,3004.26,3006.02,2975.86,2976.61
S&P500,7/18/2019,2978.87,2998.28,2973.09,2995.11
S&P500,7/17/2019,3005.10,3005.26,2984.25,2984.42
S&P500,7/16/2019,3012.13,3015.02,3001.15,3004.04
S&P500,7/15/2019,3017.80,3017.80,3008.77,3014.30
S&P500,7/12/2019,3003.36,3013.92,3001.87,3013.77
S&P500,7/11/2019,2999.62,3002.33,2988.80,2999.91
S&P500,7/10/2019,2989.30,3002.98,2984.62,2993.07
S&P500,7/9/2019,2965.52,2981.90,2963.44,2979.63
S&P500,7/8/2019,2979.77,2980.76,2970.09,2975.95
S&P500,7/5/2019,2984.25,2994.03,2967.97,2990.41
S&P500,7/3/2019,2978.08,2995.84,2977.96,2995.82
S&P500,7/2/2019,2964.66,2973.21,2955.92,2973.01
S&P500,7/1/2019,2971.41,2977.93,2952.22,2964.33
S&P500,6/28/2019,2932.94,2943.98,2929.05,2941.76
S&P500,6/27/2019,2919.66,2929.30,2918.57,2924.92
S&P500,6/26/2019,2926.07,2932.59,2912.99,2913.78
S&P500,6/25/2019,2945.78,2946.52,2916.01,2917.38
S&P500,6/24/2019,2951.42,2954.92,2944.05,2945.35
S&P500,6/21/2019,2952.71,2964.15,2946.87,2950.46
S&P500,6/20/2019,2949.60,2958.06,2931.50,2954.18
S&P500,6/19/2019,2920.55,2931.74,2911.43,2926.46
