index_name,Date,Open,High,Low,Close
S&P500,12/31/2018,2498.94,2509.24,2482.82,2506.85
S&P500,12/28/2018,2498.77,2520.27,2472.89,2485.74
S&P500,12/27/2018,2442.50,2489.10,2397.94,2488.83
S&P500,12/26/2018,2363.12,2467.76,2346.58,2467.70
S&P500,12/24/2018,2400.56,2410.34,2351.10,2351.10
S&P500,12/21/2018,2465.38,2504.41,2408.55,2416.62
S&P500,12/20/2018,2496.77,2509.63,2441.18,2467.42
S&P500,12/19/2018,2547.05,2585.29,2488.96,2506.96
S&P500,12/18/2018,2559.90,2573.99,2528.71,2546.16
S&P500,12/17/2018,2590.75,2601.13,2530.54,2545.94
S&P500,12/14/2018,2629.68,2635.07,2593.84,2599.95
S&P500,12/13/2018,2658.70,2670.19,2637.27,2650.54
S&P500,12/12/2018,2658.23,2685.44,2650.26,2651.07
S&P500,12/11/2018,2664.44,2674.35,2621.30,2636.78
S&P500,12/10/2018,2630.86,2647.51,2583.23,2637.72
S&P500,12/7/2018,2691.26,2708.54,2623.14,2633.08
S&P500,12/6/2018,2663.51,2696.15,2621.53,2695.95
S&P500,12/4/2018,2782.43,2785.93,2697.18,2700.06
S&P500,12/3/2018,2790.50,2800.18,2773.38,2790.37
S&P500,11/30/2018,2737.76,2760.88,2732.76,2760.17
S&P500,11/29/2018,2736.97,2753.75,2722.94,2737.76
S&P500,11/28/2018,2691.45,2744.00,2684.38,2743.79
S&P500,11/27/2018,2663.75,2682.53,2655.89,2682.17
S&P500,11/26/2018,2649.97,2674.35,2649.97,2673.45
S&P500,11/23/2018,2633.36,2647.55,2631.09,2632.56
S&P500,11/21/2018,2657.74,2670.73,2649.82,2649.93
S&P500,11/20/2018,2654.60,2669.44,2631.52,2641.89
S&P500,11/19/2018,2730.74,2733.16,2681.09,2690.73
S&P500,11/16/2018,2718.54,2746.75,2712.16,2736.27
S&P500,11/15/2018,2693.52,2735.38,2670.75,2730.20
S&P500,11/14/2018,2737.90,2746.80,2685.75,2701.58
S&P500,11/13/2018,2730.05,2754.60,2714.98,2722.18
S&P500,11/12/2018,2773.93,2775.99,2722.00,2726.22
S&P500,11/9/2018,2794.10,2794.10,2764.24,2781.01
S&P500,11/8/2018,2806.38,2814.75,2794.99,2806.83
S&P500,11/7/2018,2774.13,2815.15,2774.13,2813.89
