index_name,Date,Open,High,Low,Close
S&P500,12/31/2021,4775.21,4786.83,4765.75,4766.18
S&P500,12/30/2021,4794.23,4808.93,4775.33,4778.73
S&P500,12/29/2021,4788.64,4804.06,4778.08,4793.06
S&P500,12/28/2021,4795.49,4807.02,4780.04,4786.35
S&P500,12/27/2021,4733.99,4791.49,4733.99,4791.19
S&P500,12/23/2021,4703.96,4740.74,4703.96,4725.79
S&P500,12/22/2021,4650.36,4697.67,4645.53,4696.56
S&P500,12/21/2021,4594.96,4651.14,4583.16,4649.23
S&P500,12/20/2021,4587.90,4587.90,4531.10,4568.02
S&P500,12/17/2021,4652.50,4666.70,4600.22,4620.64
S&P500,12/16/2021,4719.13,4731.99,4651.89,4668.67
S&P500,12/15/2021,4636.46,4712.60,4611.22,4709.85
S&P500,12/14/2021,4642.99,4660.47,4606.52,4634.09
S&P500,12/13/2021,4710.30,4710.30,4667.60,4668.97
S&P500,12/10/2021,4687.64,4713.57,4670.24,4712.02
S&P500,12/9/2021,4691.00,4695.26,4665.98,4667.45
S&P500,12/8/2021,4690.86,4705.06,4674.52,4701.21
S&P500,12/7/2021,4631.97,4694.04,4631.97,4686.75
S&P500,12/6/2021,4548.37,4612.60,4540.51,4591.67
S&P500,12/3/2021,4589.49,4608.03,4495.12,4538.43
S&P500,12/2/2021,4504.73,4595.46,4504.73,4577.10
S&P500,12/1/2021,4602.82,4652.94,4510.27,4513.04
S&P500,11/30/2021,4640.25,4646.02,4560.00,4567.00
S&P500,11/29/2021,4628.75,4672.95,4625.26,4655.27
S&P500,11/26/2021,4664.63,4664.63,4585.43,4594.62
S&P500,11/24/2021,4675.78,4702.87,4659.89,4701.46
S&P500,11/23/2021,4678.48,4699.39,4652.66,4690.70
S&P500,11/22/2021,4712.00,4743.83,4682.17,4682.94
S&P500,11/19/2021,4708.44,4717.75,4694.22,4697.96
S&P500,11/18/2021,4700.72,4708.80,4672.78,4704.54
S&P500,11/17/2021,4701.50,4701.50,4684.41,4688.67
S&P500,11/16/2021,4679.42,4714.95,4679.42,4700.90
S&P500,11/15/2021,4689.30,4697.42,4672.86,4682.80
S&P500,11/12/2021,4655.24,4688.47,4650.77,4682.85
S&P500,11/11/2021,4659.39,4664.55,4648.31,4649.27
S&P500,11/10/2021,4670.26,4684.85,4630.86,4646.71
S&P500,11/9/2021,4707.25,4708.53,4670.87,4685.25
S&P500,11/8/2021,4701.48,4714.92,4694.39,4701.70
S&P500,11/5/2021,4699.26,4718.50,4681.32,4697.53
S&P500,11/4/2021,4662.93,4683.00,4662.59,4680.06
S&P500,11/3/2021,4630.65,4663.46,4621.19,4660.57
S&P500,11/2/2021,4613.34,4635.15,4613.34,4630.65
S&P500,11/1/2021,4610.62,4620.34,4595.06,4613.67
S&P500,10/29/2021,4572.87,4608.08,4567.59,4605.38
S&P500,10/28/2021,4562.84,4597.55,4562.84,4596.42
S&P500,10/27/2021,4580.22,4584.57,4551.66,4551.68
S&P500,10/26/2021,4578.69,4598.53,4569.17,4574.79
S&P500,10/25/2021,4553.69,4572.62,4537.36,4566.48
S&P500,10/22/2021,4546.12,4559.67,4524.00,4544.90
S&P500,10/21/2021,4532.24,4551.44,4526.89,4549.78
S&P500,10/20/2021,4524.42,4540.87,4524.40,4536.19
S&P500,10/19/2021,4497.34,4520.40,4496.41,4519.63
S&P500,10/18/2021,4463.72,4488.75,4447.47,4486.46
